id_case,id_progen_tree,id_progen_tracing,lineage_chain,lineage_case,utm_easting,utm_northing,species,date_symptoms
7,6,6,3,0,577841.3638424604,9445838.276805976,Livestock: Cow,2010-09-25
79,68,0,3,0,592841.3638424604,9448838.276805976,Domestic dog,2010-11-15
122,96,0,4,0,573841.3638424604,9415838.276805976,Domestic dog,2011-03-15
167,369,0,7,0,580841.3638424604,9439838.276805976,Domestic dog,2013-09-01
348,NA,0,2,0,578841.3638424604,9440838.276805976,Domestic dog,2016-08-30
362,348,0,2,0,578841.3638424604,9440838.276805976,Domestic dog,2016-08-30
377,33,0,3,3,577841.3638424604,9445838.276805976,Domestic dog,2012-06-15
378,377,0,3,0,576841.3638424604,9449838.276805976,Domestic dog,2012-08-25
512,504,0,1,0,591841.3638424604,9450838.276805976,Domestic dog,2017-03-05
507,512,0,1,0,595841.3638424604,9453838.276805976,Domestic dog,2017-04-16
569,567,0,1,0,595841.3638424604,9453838.276805976,Domestic dog,2017-08-19
588,582,0,2,0,576841.3638424604,9409838.276805976,Domestic dog,2017-10-18
557,NA,0,7,7,591037.0209196061,9417572.559450416,Domestic dog,2010-12-15
558,560,0,4,4,591209.843715298,9417719.236599293,Domestic dog,2010-12-15
559,NA,0,5,5,589508.4999388726,9417855.922820874,Domestic dog,2010-12-15
560,NA,0,4,0,589701.0221090112,9419107.693867188,Domestic dog,2010-11-26
561,190,0,6,6,591001.3333836049,9419228.279527754,Domestic dog,2010-11-26
6,173,0,3,0,579098.3724851295,9446996.9992713,Domestic dog,2010-09-05
8,6,6,3,0,577421.9136410294,9447316.105270144,Livestock: Cow,2010-10-15
11,56,0,4,0,591850.6778305139,9423495.155700186,Domestic dog,2011-06-30
12,11,0,4,0,590226.0494992345,9423984.656065755,Domestic dog,2012-01-09
15,98,0,6,0,583330.7581916075,9405175.220537443,Domestic dog,2010-08-15
16,15,15,6,0,583462.6359634191,9405151.367071878,Domestic dog,2010-08-25
17,16,0,6,0,581743.0522197016,9403514.108547105,Domestic dog,2010-09-15
18,17,17,6,0,583271.9542709735,9403837.926786255,Domestic dog,2010-09-25
22,16,0,6,0,582879.9243600501,9401130.951338284,Livestock: Cow,2010-10-15
23,NA,0,3,0,579954.6959107162,9408777.717558306,Domestic dog,2010-01-05
24,23,23,3,0,578482.060327579,9406816.635476414,Livestock: Cow,2010-02-05
25,24,24,3,0,578384.4668339358,9408385.164582275,Livestock: Cow,2010-02-25
27,376,0,3,0,581877.5856803333,9445078.171774466,Domestic dog,2011-08-27
32,34,0,3,0,577694.1680463847,9447440.104923904,Domestic dog,2011-11-05
33,32,0,3,0,577532.6687953805,9447414.811928399,Domestic dog,2011-12-15
34,40,0,3,0,577544.0642608774,9447002.761203233,Domestic dog,2011-07-15
38,151,0,3,0,584575.79461138,9433987.843043882,Domestic dog,2011-07-11
39,83,0,3,0,581413.4507317482,9439800.681139803,Domestic dog,2011-05-25
40,39,0,3,0,579199.61160456,9441348.383530796,Domestic dog,2011-06-23
47,151,0,3,0,580151.2168283344,9431498.099675044,Domestic dog,2011-11-15
56,152,0,4,0,586480.8796642553,9418928.368667718,Domestic dog,2011-06-03
60,559,0,5,0,589144.4723094277,9421828.573697366,Domestic dog,2011-02-03
63,39,0,3,0,583625.9553524117,9439236.889952086,Domestic dog,2011-06-15
68,7,0,3,0,589197.3376008937,9439011.43856575,Domestic dog,2010-10-15
69,68,0,3,0,590178.9494238488,9438143.11301884,Domestic dog,2010-11-14
75,79,0,3,0,585065.175697304,9452490.648742715,Domestic dog,2010-12-15
83,185,0,3,0,584440.1373529774,9447168.817792894,Domestic dog,2011-02-15
93,98,0,6,0,585652.7783632871,9406447.113704532,Domestic dog,2010-08-15
