id_case,id_progen_tree,id_progen_tracing,membership,utm_easting,utm_northing,species,date_symptoms
122,96,0,3,574841.3638424604,9415838.276805976,Domestic dog,2011-03-15
150,63,0,2,579841.3638424604,9428838.276805976,Domestic dog,2011-06-15
362,NA,0,12,578841.3638424604,9440838.276805976,Domestic dog,2016-08-30
512,504,0,12,589841.3638424604,9448838.276805976,Domestic dog,2017-03-05
502,493,0,12,589841.3638424604,9448838.276805976,Domestic dog,2017-03-07
507,504,0,12,595841.3638424604,9452838.276805976,Domestic dog,2017-04-16
564,563,0,12,589841.3638424604,9449838.276805976,Domestic dog,2017-12-03
568,567,0,12,595841.3638424604,9451838.276805976,Domestic dog,2017-08-19
569,567,0,12,595841.3638424604,9453838.276805976,Domestic dog,2017-08-19
601,567,0,12,595841.3638424604,9451838.276805976,Domestic dog,2017-08-22
557,560,0,1,590967.112228618,9419357.014959224,Domestic dog,2010-12-15
558,560,0,1,591048.505904031,9419289.751392452,Domestic dog,2010-12-15
559,561,0,1,590857.0164430365,9419133.668657055,Domestic dog,2010-12-15
560,190,0,1,589385.310266627,9419370.346076567,Domestic dog,2010-11-26
561,190,0,1,589776.5930130789,9417494.799584396,Domestic dog,2010-11-26
6,173,0,2,579004.5019014407,9447271.80874624,Domestic dog,2010-09-05
7,6,6,2,577445.079601942,9445617.012199681,Livestock: Cow,2010-09-25
8,6,6,2,577465.2938173286,9445692.673213981,Livestock: Cow,2010-10-15
11,56,0,3,592112.0508121069,9422092.485528491,Domestic dog,2011-06-30
12,191,0,3,590627.0802048942,9422328.220269464,Domestic dog,2012-01-09
15,98,0,3,583123.8186115721,9405085.799511965,Domestic dog,2010-08-15
16,15,15,3,581939.0893955339,9405174.991419634,Domestic dog,2010-08-25
17,16,0,3,583228.393894699,9405112.028868381,Domestic dog,2010-09-15
18,17,17,3,583147.2300939119,9403549.41952238,Domestic dog,2010-09-25
22,17,0,3,583995.6726883233,9399854.524316335,Livestock: Cow,2010-10-15
23,NA,0,3,580275.5369863359,9408566.326009795,Domestic dog,2010-01-05
24,23,23,3,580105.7765997599,9408515.974120108,Livestock: Cow,2010-02-05
25,24,24,3,578465.5361165411,9406967.79185637,Livestock: Cow,2010-02-25
27,34,0,2,582213.0810263263,9446211.533568285,Domestic dog,2011-08-27
32,34,0,2,576089.9785886636,9448861.808845304,Domestic dog,2011-11-05
33,32,0,2,577624.2536715602,9447204.08504537,Domestic dog,2011-12-15
34,39,0,2,577677.6051107773,9445785.763199344,Domestic dog,2011-07-15
38,150,0,2,583184.0107212984,9435456.836510465,Domestic dog,2011-07-11
39,83,0,2,580175.707532993,9441056.904062623,Domestic dog,2011-05-25
40,39,0,2,580826.7139646894,9441272.721343843,Domestic dog,2011-06-23
47,151,0,2,581287.2089501007,9429789.962424424,Domestic dog,2011-11-15
56,152,0,3,586656.5759696038,9419185.639714934,Domestic dog,2011-06-03
60,558,0,1,589184.6524817332,9422089.786008235,Domestic dog,2011-02-03
63,39,0,2,583569.7087073616,9440622.42506595,Domestic dog,2011-06-15
68,173,0,2,589425.9009214839,9439069.839192627,Domestic dog,2010-10-15
69,68,0,2,590383.0203417615,9438129.440347094,Domestic dog,2010-11-14
75,79,0,4,585258.2352051778,9453868.403598616,Domestic dog,2010-12-15
79,NA,0,4,590637.122320275,9450632.362668686,Domestic dog,2010-11-15
83,185,0,2,584398.8435635776,9447202.754560616,Domestic dog,2011-02-15
93,98,0,3,585580.5008234117,9404972.784408033,Domestic dog,2010-08-15
94,93,0,3,585585.8020626998,9406634.544185659,Domestic dog,2010-10-15
96,102,0,3,581915.1040142453,9409550.914246507,Domestic dog,2011-01-15
97,138,0,3,581784.3535143447,9406363.457108703,Domestic dog,2010-07-15
98,137,0,3,583897.0214394957,9403342.738975918,Domestic dog,2010-07-15
102,22,0,3,584303.1916507849,9400436.483779581,Domestic dog,2010-11-15
106,23,0,3,577552.3473026437,9411184.159240793,Domestic dog,2010-02-15
109,23,0,3,580087.0548714832,9408479.913093567,Domestic dog,2010-01-15
113,96,0,3,582295.475255177,9412355.250781698,Domestic dog,2011-03-15
115,NA,0,5,582398.2064512919,9422654.402161758,Domestic dog,2010-02-15
121,155,0,3,580118.817627083,9418585.825825058,Domestic dog,2011-11-15
134,25,0,3,580469.7518490182,9401980.764404695,Domestic dog,2010-05-05
135,134,134,3,580475.299376242,9402393.521798484,Domestic dog,2010-05-08
136,134,134,3,580637.5704080026,9402280.852452096,Domestic dog,2010-05-08
137,134,134,3,578792.8150004634,9400469.459932238,Domestic dog,2010-05-15
138,134,134,3,578833.2181096236,9400794.306906346,Domestic dog,2010-05-15
139,134,134,3,578903.9106927273,9402303.327275498,Domestic dog,2010-05-08
140,NA,0,6,593535.6013243046,9448764.744217228,Domestic dog,2012-05-05
141,140,140,6,593367.4658710562,9449998.597694747,Domestic dog,2012-05-09
142,141,141,6,593540.8802852227,9448285.36297772,Domestic dog,2012-05-22
143,141,141,6,595015.9457395977,9448307.71571917,Domestic dog,2012-05-16
144,141,141,6,595088.0641319782,9448876.815413754,Domestic dog,2012-06-13
145,141,141,6,593797.3763725713,9448717.84206147,Domestic dog,2012-05-20
151,150,150,2,581024.3985922094,9430524.833329976,Domestic dog,2011-07-05
152,157,0,3,586260.2861754285,9417246.355004746,Domestic dog,2011-05-15
153,152,0,3,585100.5621777052,9417779.749572031,Domestic dog,2011-06-15
154,153,153,3,586642.4335931564,9419009.779848263,Domestic dog,2011-06-25
155,158,0,3,578405.3000533052,9418208.532359488,Domestic dog,2011-10-15
156,155,155,3,578005.6826787798,9418499.621586328,Domestic dog,2011-10-25
157,113,0,3,580937.5833327302,9418340.700541373,Domestic dog,2011-05-05
158,157,157,3,582729.3187984386,9416908.63575498,Livestock: Goat,2011-05-15
